index	char	source	confidence	uses	alts
68	派	ruby	medium	26	
69	貰	bitmap	low	1	貰貫貧寳賃
70	禄	bitmap	low	1	禄録緑縁腺
71	着	ruby	medium	64	都
72	掛	context	medium	31	掛褂崗撈擾
73	名	ruby	high	125	
74	屋	ruby	high	52	
75	頼	ruby	high	93	
76	大	ruby	high	219	
77	体	ruby	high	75	
78	相	ruby	high	77	
79	当	ruby	medium	351	
80	見	ruby	high	357	
81	周	ruby	high	20	
82	多	ruby	medium	47	
83	金	ruby	medium	28	
84	姆	ruby	high	115	
85	圧	ruby	high	3	
86	倒	ruby	medium	14	撓
87	私	context	medium	411	私軋粘亂粃
88	弁	ruby	high	337	
89	護	ruby	high	359	
90	士	ruby	high	329	
91	城	ruby	medium	56	
92	申	ruby	high	69	
93	不	ruby	high	131	
94	躾	ruby	high	2	
95	遅	ruby	medium	3	恐
96	少	context	medium	183	少争歩◆康
97	話	ruby	medium	547	
98	暖	okurigana	medium	502	関閤崗闘聞
99	待	context	medium	163	持恃待侍掎
100	女	context	medium	199	女枇套齔隹
101	性	ruby	high	133	
102	今	ruby	high	402	
103	関	context	medium	61	■囲闘附崗
104	件	ruby	high	384	
105	斉	ruby	medium	151	勇
106	藤	ruby	medium	419	俯
107	光	ruby	high	3276	
108	志	ruby	high	3287	
109	肘	context	medium	56	挺掛梃撥撹
110	彼	context	medium	254	披彼疲筱篋
111	実	ruby	medium	256	
112	主	context	medium	60	主｜圭生杢
113	張	ruby	medium	57	婆簸
114	身	context	medium	70	身権葎種痩
115	本	ruby	high	438	
116	客	ruby	high	66	
117	観	ruby	high	29	
118	的	ruby	high	160	
119	証	ruby	high	345	
120	拠	ruby	high	136	
121	出	ruby	high	262	
122	真	ruby	high	340	
123	犯	context	medium	284	犯鉅蛆墾簓
124	裏	context	medium	58	喪寰裏叢裹
125	言	okurigana	medium	26	笑実笶芙奕
126	絶	ruby	high	22	
127	対	context	medium	80	対射紂材豺
128	許	context	medium	21	許詐胙忤胖
129	知	ruby	high	259	
130	協	context	medium	11	協鰛恊磁媼
131	力	ruby	high	71	
132	重	ruby	medium	478	自思
133	索	context	medium	3	崗鹵帛瘠攤
134	条	context	medium	23	条粂糸峯集
135	奥	ruby	medium	18	奧
136	様	ruby	high	97	
137	只	ruby	high	9	
138	伺	reading	medium	28	伺何恟倆榊
139	答	ruby	medium	46	
140	範	ruby	high	9	
141	囲	ruby	high	17	
142	結	ruby	high	110	
143	在	ruby	high	43	
144	写	context	medium	29	写岑琴冪宰
145	先	ruby	high	160	
146	日	ruby	medium	640	
147	接	ruby	medium	108	
148	会	context	medium	161	会合麁僉金
149	色	okurigana	low	42	邑色皀魚た
150	問	ruby	medium	184	闘
151	題	context	medium	38	趙鐓餓題越
152	行	ruby	high	311	
153	気	ruby	medium	314	木軌
154	縁	context	medium	73	緑縁鰻繕繙
155	際	context	medium	34	際崗閤隰関
156	質	context	medium	40	賓貲寳寶贇
157	仕	ruby	medium	154	阯
158	方	ruby	high	206	
159	去	context	medium	21	去玄五夫査
160	心	ruby	high	177	
161	禁	ruby	high	8	
162	土	ruby	high	37	
163	通	ruby	medium	134	遠
164	装	ruby	medium	11	
165	物	ruby	high	156	
166	反	ruby	high	54	
167	応	ruby	high	56	
168	違	ruby	medium	138	画
169	以	context	medium	152	以蹼騏朕謀
170	上	ruby	high	178	
171	配	ruby	high	24	
172	慮	ruby	high	13	
173	亜	ruby	medium	27	足
174	信	ruby	high	102	
175	抜	ruby	medium	14	奴
176	戦	ruby	medium	103	教
177	助	ruby	medium	26	
178	直	ruby	medium	113	
179	捕	ruby	medium	64	掬乕
180	伝	context	medium	53	伝阮挺肌斫
181	旦	ruby	high	19	
182	那	ruby	high	10	
183	存	ruby	high	59	
184	阿	context	medium	20	网同岡阿明
185	痛	okurigana	medium	84	鏡膜鐵鋭饒
186	亡	okurigana	low	55	亡じ匸む仁
187	美	ruby	high	40	
188	左	ruby	medium	4	
189	恵	ruby	high	27	
190	書	context	medium	70	書盡晝盪豊
191	佐	ruby	medium	25	
192	嬢	ruby	high	29	
193	例	ruby	high	24	
194	遅	ruby	medium	18	臆
195	逆	context	medium	26	逆述避鋩巫
196	並	okurigana	low	2	比庄齔化捻
197	数	context	medium	33	數数妝教馼
198	陽	context	medium	34	孳孥挙拏駢
199	印	bitmap	low	13	印槨国岡閙
200	夐	bitmap	low	13	豢夐象躯彙
201	優	ruby	high	26	
202	継	context	medium	50	鏃蹠蝓蛆鮠
203	特	context	medium	66	持特將胖梓
204	良	ruby	medium	73	
205	誰	ruby	high	78	
206	空	ruby	medium	13	
207	絵	ruby	medium	5	
208	能	context	medium	15	龜躯簓髷氣
209	中	ruby	high	279	
210	燬	ruby	high	64	
211	仇	ruby	high	3	
212	視	ruby	medium	16	俟
213	線	ruby	medium	11	
214	冷	okurigana	medium	11	療褂瘴庫康
215	関	ruby	high	271	
216	是	ruby	high	7	
217	非	ruby	medium	25	脊
218	避	ruby	medium	75	引
219	経	ruby	high	39	
220	束	ruby	medium	9	塚
221	用	ruby	medium	93	
222	黙	ruby	medium	32	玉
223	父	okurigana	medium	67	父攵虻乂鋩
224	願	ruby	medium	40	
225	疚	okurigana	medium	21	飲飮批欲俄
226	決	okurigana	medium	12	貸貲錢瞥賃
227	扱	okurigana	medium	57	繼鐓繃纖麟
228	判	context	medium	71	判柯鷯枸物
229	取	okurigana	medium	22	倍僭僧儕倩
230	芯	ruby	medium	1	
231	強	ruby	medium	43	
232	調	okurigana	medium	354	躑鶲讖鷁識
233	査	ruby	medium	203	作
234	終	context	medium	84	終鮗許胖嶄
235	綴	okurigana	medium	38	辺迢遐磁避
236	失	ruby	high	95	
237	礼	context	medium	65	扎礼札牝亂
238	礒	ruby	medium	31	
239	束	ruby	high	19	
240	残	context	medium	127	残桟賎棧找
241	得	context	medium	78	黹得樗饅撈
242	感	ruby	high	122	
243	衢	ruby	medium	57	
244	代	ruby	medium	165	髏
245	變	okurigana	medium	7	妻姜豊鏖會
246	赤	bitmap	low	2	赤●春素恚
247	昨	ruby	high	111	
248	役	context	medium	28	役挽俛佼撹
249	遡	reading	medium	1	遯遵纒遡纏
250	母	context	medium	70	饅瓣偐段母
251	血	ruby	medium	8	
252	縁	ruby	high	12	
253	係	ruby	high	228	
254	参	context	medium	24	參参●歙歉
255	腸	context	medium	42	鞴韆鱒糒韃
256	動	ruby	high	140	
257	口	ruby	high	244	
258	枢	ruby	medium	1	
259	各	ruby	high	15	
260	企	ruby	high	20	
261	業	ruby	high	231	
262	社	ruby	high	88	
263	廝	ruby	high	5	
264	合	ruby	medium	157	
265	損	okurigana	low	5	衒斫挺擬撒
266	重	context	medium	18	隹皇篁崔童
267	向	ruby	medium	66	
268	食	context	medium	23	食倉責賣良
269	孛	bitmap	low	2	豢孛髦璧炊
270	繁	ruby	high	5	
271	盛	ruby	medium	3	
272	店	context	medium	106	店唐眠斫貭
273	外	ruby	high	181	
274	機	ruby	high	64	
275	負	context	medium	47	負員賣賁麁
276	受	context	medium	154	受斐曼誉譽
277	付	context	medium	164	忖付ＨΗ餞
278	咐	ruby	medium	5	
279	造	context	medium	11	造遊道逝渣
280	待	ruby	medium	299	間
281	高	context	medium	18	広応庄仄炭
282	沽	ruby	high	76	
283	明	ruby	high	228	
284	雰	ruby	high	8	
285	住	context	medium	23	庄住侘俊佐
286	任	ruby	medium	33	
287	丈	ruby	medium	47	条
288	夫	ruby	high	47	
289	安	ruby	medium	47	
290	咫	ruby	medium	15	与
291	部	ruby	high	162	
292	署	context	medium	9	署箸謇奢詈
293	来	context	medium	189	来來東柬兼
294	承	ruby	high	16	
295	寝	okurigana	medium	31	抗梳柧拠輒
296	饐	ruby	medium	1	
297	畭	ruby	high	57	
298	形	ruby	high	30	
299	斬	ruby	high	3	
300	下	ruby	high	91	
301	可	ruby	high	80	
302	能	context	medium	79	能紕簓■蛆
303	難	context	medium	25	薙曝簸鬚幾
304	夢	context	medium	11	夢孳蓼搴麥
305	凝	ruby	high	2	
306	縮	ruby	high	3	
307	雛	context	medium	2	嗇厳錐蔚巖
308	置	context	medium	69	■匱直賣篋
309	商	ruby	medium	8	
310	談	ruby	high	28	
311	詰	bitmap	low	4	詰訪誌詁詩
312	何	context	medium	75	何俯餠辮拊
313	度	context	medium	117	度廈虔窗厦
314	利	context	medium	32	利軻村柯鶇
315	業	context	medium	57	豢萠麕鼈截
316	植	context	medium	115	植掖毓披檢
317	朗	ruby	medium	166	
318	給	context	medium	4	給絵胎鯰姶
319	料	context	medium	9	料科斜抖軒
320	悟	ruby	medium	102	聡
321	刺	ruby	high	31	
322	休	ruby	high	71	
323	憧	reading	medium	12	憶愴慢惶憧
324	内	ruby	high	152	
325	纏	okurigana	medium	3	駅鈬釈釿訳
326	便	ruby	medium	3	
327	分	ruby	medium	251	
328	綾	ruby	high	33	
329	理	ruby	high	181	
330	頂	ruby	medium	1	
331	戴	ruby	medium	1	
332	御	ruby	high	14	
333	我	ruby	high	22	
334	賭	context	medium	9	紲臆繚嫌戀
335	設	context	medium	49	設狡寂股毆
336	化	ruby	high	34	
337	希	context	medium	7	希肴毒斎番
338	望	context	medium	41	望璽璧悽攣
339	算	context	medium	9	賣貰嘗弉貧
340	計	context	medium	65	計訃肚什肝
341	段	ruby	high	30	
342	階	context	medium	32	隕崗萌險隴
343	嬶	ruby	high	21	
344	連	ruby	high	46	
345	携	ruby	high	6	
346	要	ruby	high	88	
347	制	ruby	high	21	
348	整	ruby	medium	20	
349	柔	ruby	medium	2	
350	軟	ruby	medium	1	
351	産	ruby	medium	5	
352	提	ruby	medium	50	
353	供	ruby	medium	18	
354	素	ruby	high	31	
355	槍	context	medium	17	暗哨嶢晴疇
356	指	ruby	medium	149	剃
357	営	context	medium	31	貲育實肯囂
358	活	context	medium	14	活沽估橇瓲
359	崋	ruby	medium	4	兼莪
360	格	ruby	high	37	
361	煤	ruby	medium	37	
362	紹	ruby	high	10	
363	介	ruby	high	10	
364	常	context	medium	25	帛弯累寓寫
365	典	context	medium	2	典黄喪夷冓
366	断	context	medium	29	断崗斷絎■
367	敵	ruby	high	15	
368	選	ruby	medium	13	
369	婚	ruby	high	24	
370	居	ruby	high	18	
371	謎	ruby	medium	7	
372	解	ruby	medium	78	闘
373	退	context	medium	917	三豆亙互湮
374	職	context	medium	910	甫唐慮濾虜
375	撃	ruby	medium	44	鵜
376	恥	ruby	medium	4	簸
377	告	ruby	high	69	
378	必	context	medium	53	必趁畆髟齢
379	評	context	medium	10	許拌評胖譁
380	根	ruby	high	17	
381	注	context	medium	10	庄住往眈陳
382	意	ruby	high	139	
383	長	context	medium	194	長跿貧員曼
384	厳	context	medium	13	厳竸敏敵継
385	腕	ruby	high	15	
386	端	ruby	medium	18	播
387	触	okurigana	medium	31	忘岩起厳紜
388	就	context	medium	8	硫肬碇蔵跿
389	戻	reading	medium	83	炭慶斑庚臠
390	生	ruby	high	257	
391	続	context	medium	58	皎硫皖院饒
392	思	okurigana	medium	3	走麦圭澎素
393	像	context	medium	74	崗像嶐鹵愎
394	勘	ruby	high	14	
395	挨	ruby	high	17	
396	拶	ruby	high	17	
397	割	context	medium	12	刮割黼剖朗
398	侏	bitmap	low	3	侏眛檪株橡
399	伽	bitmap	low	1	伽剖踟枷餉
400	始	ruby	medium	50	
401	峰	ruby	medium	21	押
402	槇	bitmap	low	2	槇模攅横樸
403	同	ruby	high	90	
404	目	ruby	high	112	
405	積	context	medium	8	饒饋穢饐橈
406	極	ruby	high	16	
407	軽	ruby	high	26	
408	声	ruby	high	112	
409	腰	ruby	medium	1	
410	貞	context	medium	7	賣員責貞賁
411	重	ruby	high	67	
412	古	bitmap	low	6	古占杏吉衣
413	渡	ruby	high	42	
414	使	context	medium	51	鋩紕鯲絎総
415	世	ruby	medium	37	
416	紀	bitmap	low	1	紀杞記妃鋩
417	具	ruby	high	25	
418	顧	ruby	high	50	
419	弊	ruby	high	4	
420	登	context	medium	11	登豊整荳疂
421	録	context	medium	46	緑髞録縁瞳
422	将	context	medium	6	將持饅勝餞
423	銅	context	medium	11	黼鉚嬲鏃鍵
424	像	context	medium	13	掛挺披餞擬
425	恋	ruby	high	24	
426	副	context	medium	3	繼躑繖皺蹶
427	緒	ruby	high	46	
428	時	ruby	medium	357	
429	月	ruby	medium	194	
430	曜	context	medium	46	曜唆峻曝眠
431	火	context	medium	8	火大犬太夫
432	参	context	medium	215	事拿拳豢幸
433	府	context	medium	242	辨塒鱒桍垪
434	緊	ruby	high	5	
435	致	ruby	high	20	
436	案	ruby	medium	13	
437	切	okurigana	medium	33	訳択鈬齶釈
438	等	bitmap	low	15	等岑專専嚀
439	察	ruby	medium	133	
440	朝	ruby	high	921	
441	露	ruby	high	912	
442	栄	context	medium	290	茉栄肇粢暈
443	太	ruby	high	385	
444	郎	ruby	high	384	
445	台	context	medium	16	台計銓自針
446	聲	ruby	medium	13	壊
447	運	context	medium	12	遠崖速連達
448	絡	ruby	medium	23	唐
449	御	context	medium	23	約妁胸韵鈞
450	飯	context	medium	18	東束柬來来
451	急	context	medium	32	忽急怠悠怱
452	元	context	medium	59	元光兄紀无
453	組	context	medium	27	班絎肌艇斑
454	紆	ruby	medium	12	
455	員	context	medium	216	餞饑膰饅蔬
456	噂	ruby	high	5	
457	確	context	medium	158	破硫確瞳礑
458	認	ruby	high	146	
459	吉	ruby	high	211	
460	娘	ruby	medium	23	股
461	由	ruby	medium	74	
462	環	ruby	high	4	
463	境	ruby	high	12	
464	転	ruby	medium	13	
465	換	ruby	medium	1	
466	遇	ruby	high	5	
467	復	ruby	medium	49	
468	職	ruby	medium	60	
469	価	context	medium	7	鐇鏃蟠鐵鑷
470	倚	ruby	medium	85	
471	鳰	ruby	medium	2	
472	頃	ruby	high	43	
473	偶	ruby	high	25	
474	然	ruby	high	70	
475	限	context	medium	28	閤眠瞰関擬
476	路	context	medium	10	路賂餠崗鏃
477	男	context	medium	132	努男髣贅售
478	過	ruby	high	69	
479	了	ruby	high	29	
480	戦	ruby	high	25	
481	嫌	ruby	high	28	
482	二	context	medium	197	二工匸ご訌
483	有	ruby	medium	34	
484	輩	ruby	high	37	
485	辞	ruby	high	30	
486	凄	ruby	high	4	
487	喜	okurigana	medium	4	真喜貪襄寞
488	共	bitmap	low	1	共粍銭栽践
489	器	ruby	high	34	
490	蘇	reading	medium	2	蘚蘇鮮蚌黻
491	統	context	medium	2	統絖紘硫絋
492	奇	ruby	high	3	
493	穢	okurigana	medium	72	瘋撞擁櫨掩
494	耐	ruby	medium	2	躱
495	震	ruby	medium	1	
496	点	ruby	high	37	
497	犠	ruby	high	4	
498	牲	ruby	high	4	
499	痛	bitmap	low	11	痛燐廉滿癢
500	機	context	medium	14	鐡鐵織纎嫐
501	搾	bitmap	low	2	陣搾抔拌停
502	納	context	medium	28	納齣肭蚋訥
503	保	ruby	medium	20	
504	奏	okurigana	low	2	革甚蒹棊茱
505	担	okurigana	low	3	飯骰敗篋搬
506	番	ruby	high	69	
507	賈	ruby	medium	9	
508	面	ruby	medium	81	岻
509	想	ruby	high	39	
510	濃	ruby	high	55	
511	皷	ruby	medium	18	娯
512	義	context	medium	11	瞳瘋義銓嵐
513	正	context	medium	104	正王走笙玉
514	俗	context	medium	28	鍵獅鍜鉚鷯
515	途	ruby	high	13	
516	乗	okurigana	medium	12	寄嵜害蹇寨
517	歩	okurigana	medium	9	歩事拳箏幸
518	悪	ruby	medium	65	
519	攸	bitmap	low	4	攸皎栓敗找
520	屠	ruby	medium	7	撮
521	余	ruby	high	21	
522	十	context	medium	22	｜十ｆ＋｛
523	裏	ruby	high	20	
524	偽	ruby	high	8	
525	都	ruby	medium	56	突
526	醜	okurigana	medium	26	慟働鶻黴鶺
527	鬱	ruby	high	4	
528	棘	ruby	high	20	
529	程	ruby	medium	29	
530	貞	bitmap	low	1	賣貞貧資買
531	欷	bitmap	low	1	飲欷歓飮敏
532	苦	context	medium	29	苦若荅苔罟
533	蔵	context	medium	8	巌慮厳嵐凰
534	宣	ruby	high	4	
535	抵	ruby	high	5	
536	抗	ruby	high	8	
537	属	context	medium	28	艤膓鐃腸餽
538	遠	ruby	high	12	
539	和	ruby	high	13	
540	誘	ruby	high	6	
541	謝	ruby	medium	37	
542	求	ruby	high	9	
543	俺	ruby	medium	23	
544	餤	bitmap	low	1	皎餤鯰餃脱
545	田	ruby	medium	5	
546	容	ruby	high	82	
547	警	ruby	high	128	
548	廣	okurigana	low	3	癰輾蜒癢軅
549	換	ruby	high	43	
550	念	context	medium	28	念蠢盒蠡倉
551	伴	okurigana	medium	5	腹鰒篋蹴膣
552	屈	ruby	high	22	
553	辱	ruby	high	17	
554	尋	ruby	high	57	
555	闘	ruby	high	6	
556	狂	okurigana	medium	5	技挂伎按控
557	則	ruby	medium	3	
558	麻	ruby	high	36	
559	乱	okurigana	medium	8	乱亂齔扎畠
560	緩	okurigana	medium	18	懺鐓繼懴躑
561	舞	okurigana	low	10	努勢暼筍笥
562	土	context	medium	11	士｜ｆ】｛
563	挙	okurigana	medium	16	庵崖座庫申
564	全	context	medium	45	全仝金奎企
565	敏	ruby	high	2	
566	簡	context	medium	19	攤儺搬鶻飾
567	単	context	medium	33	単畊寧麻申
568	掛	context	medium	10	唐済癢儀倚
569	弟	context	medium	19	弟萌麝截骸
570	都	ruby	medium	17	継
571	順	okurigana	medium	228	若蒋菽萪慕
572	作	ruby	high	34	
573	影	ruby	high	46	
574	皸	ruby	medium	44	響
575	却	ruby	high	3	
576	議	ruby	medium	18	
577	閣	ruby	medium	32	隠
578	幼	ruby	medium	2	
579	稚	ruby	medium	1	
580	為	ruby	high	9	
581	紳	ruby	medium	1	
582	仲	context	medium	15	仲拌件胖鰺
583	覚	ruby	medium	99	蔵
584	暗	ruby	high	21	
585	破	ruby	medium	10	
586	鍵	ruby	high	48	
587	開	context	medium	43	関閤崗開閏
588	労	context	medium	11	労奢旁努髣
589	沿	okurigana	medium	9	明擬困淋孅
590	移	context	medium	126	修條拶捗餘
591	篠	ruby	high	5	
592	扉	ruby	high	26	
593	慣	okurigana	medium	6	慣償懴慎惜
594	否	ruby	medium	37	
595	席	context	medium	32	席巌寤廣慮
596	屋	context	medium	5	潔瘰縻徹僂
597	六	context	medium	4	∧几六八Λ
598	葵	ruby	high	163	
599	趣	ruby	high	6	
600	期	ruby	medium	51	
601	電	ruby	medium	37	
602	号	context	medium	23	兮号牲杪秒
603	声	ruby	high	23	
604	箍	ruby	medium	16	互
605	識	ruby	high	28	
606	功	context	medium	8	功袍匏衲物
607	績	context	medium	4	縱蹤饒鏃績
608	腐	ruby	medium	1	
609	界	ruby	high	27	
610	益	ruby	medium	4	
611	柚	ruby	high	5	
612	式	context	medium	10	計針紆鮓鮗
613	筋	ruby	medium	8	
614	措	ruby	high	7	
615	放	ruby	high	65	
616	馨	ruby	high	12	
617	複	context	medium	13	複拑撥褂梭
618	雑	context	medium	9	雑瞳幢鐵雎
619	丸	bitmap	low	2	丸扎夂夊九
620	示	context	medium	38	示繼萠癬册
621	汗	ruby	high	3	
622	嘩	ruby	medium	1	
623	委	ruby	medium	1	
624	頑	ruby	high	6	
625	固	ruby	medium	10	肩
626	再	ruby	high	47	
627	初	ruby	medium	46	粗
628	渋	ruby	high	2	
629	旨	ruby	high	6	
630	桜	context	medium	19	桜梭餒珱侫
631	蔭	context	medium	19	織疳癈難攤
632	神	context	medium	7	抻拌棒捧褝
633	茜	ruby	medium	122	
634	捜	ruby	medium	51	性操
635	徒	context	medium	8	徒旋従挑綻
636	師	ruby	high	76	
637	匠	ruby	high	32	
638	兄	okurigana	medium	54	兄見鉦結鈕
639	服	ruby	medium	16	
640	果	ruby	medium	44	
641	唐	ruby	medium	2	
642	学	ruby	medium	37	
643	共	context	medium	7	共其糞黄真
644	羨	reading	medium	2	羨菌痰箘豢
645	邪	ruby	high	8	
646	魔	ruby	high	14	
647	畭	ruby	medium	97	酔
648	綺	ruby	high	12	
649	麗	ruby	high	14	
650	隅	ruby	high	6	
651	索	ruby	medium	2	
652	悩	reading	medium	7	悩脳蝓鍼脇
653	推	context	medium	39	撹撥崗掖擦
654	勉	context	medium	14	勉舫轆醢鯱
655	迎	ruby	high	7	
656	勾	ruby	high	35	
657	留	ruby	high	91	
658	悲	ruby	medium	28	
659	壮	ruby	medium	1	
660	依	ruby	high	15	
661	狭	okurigana	medium	24	昔嘗貧許賣
662	鋭	reading	medium	8	餃蹤脱蹴艇
663	形	ruby	medium	5	堅
664	歓	ruby	high	3	
665	遊	okurigana	medium	7	遊避盈逝澱
666	路	context	medium	19	宵肓育寫貲
667	観	context	medium	3	癜繼餠儼繖
668	車	ruby	medium	23	
669	記	ruby	high	92	
670	効	context	medium	10	効劾鵁勍勃
671	率	context	medium	11	寧事拳亭搴
672	埜	ruby	high	50	
673	轉	okurigana	medium	36	爺漑軈織廐
674	亜	ruby	high	4	
675	蹶	bitmap	low	40	蹶獻蠍繼鯨
676	音	ruby	high	84	
677	儺	ruby	high	38	
678	銃	ruby	high	155	
679	駆	bitmap	low	15	駆簓躯彫緲
680	導	ruby	medium	13	
681	仮	context	medium	13	仮髭骰鬣餃
682	説	ruby	high	41	
683	加	context	medium	16	舳珈踟加跏
684	譲	context	medium	5	巍朧鵬麹綯
685	防	context	medium	53	防削関閉閤
686	策	context	medium	14	簸儼瞳鏃鑼
687	施	ruby	medium	6	
688	工	ruby	medium	15	
689	屑	ruby	medium	19	崩
690	刑	ruby	high	166	
691	密	ruby	high	14	
692	項	ruby	high	3	
693	純	ruby	medium	9	
694	眩	reading	medium	2	眩昧眈■皎
695	適	context	medium	11	避適遍迪途
696	起	ruby	high	60	
697	瞬	ruby	high	10	
698	肩	ruby	high	11	
699	運	context	medium	25	廛崖遯邂厘
700	送	context	medium	22	送迭透迅迷
701	捨	bitmap	low	7	捨橇掛掖陵
702	深	ruby	medium	23	
703	樹	context	medium	9	戀楸緲閤熊
704	瓶	ruby	medium	1	
705	焼	ruby	medium	1	
706	酎	ruby	medium	1	
707	杯	ruby	high	7	
708	帯	ruby	medium	9	雄
709	醋	ruby	medium	1	
710	映	context	medium	68	吹哨帙畸畋
711	鮭	ruby	high	8	
712	悔	ruby	medium	12	惧
713	李	context	medium	4	凖儁孛準窄
714	済	context	medium	15	済嗇崙瘡濟
715	毎	bitmap	low	6	瞳毎髷継厳
716	風	context	medium	4	逮速逹遷崖
717	嗚	ruby	high	2	
718	温	okurigana	medium	4	瘟温盧榲嵐
719	際	context	medium	4	孥摩岸厚擘
720	夜	ruby	medium	13	
721	基	ruby	medium	14	
722	販	ruby	medium	1	
723	徠	okurigana	medium	17	眛妹昧味眸
724	儲	bitmap	low	1	儲鏃鑪謎健
725	国	ruby	medium	17	
726	試	context	medium	15	試誠拭誡訊
727	験	context	medium	23	隙険瞼陝陂
728	倍	context	medium	4	倍佶俗估悋
729	懸	ruby	high	8	
730	命	ruby	high	24	
731	努	context	medium	2	努劈髣暼臀
732	釈	ruby	high	52	
733	骼	bitmap	low	5	骼熟鶻商雋
734	模	ruby	medium	11	穂
735	卒	context	medium	6	卒挙筝亊事
736	傷	ruby	medium	2	
737	額	context	medium	3	韻繃額黼餉
738	星	context	medium	3	皇篁■星趾
739	含	ruby	high	8	
740	友	context	medium	22	友変夐矣麦
741	尊	bitmap	low	5	尊椁哮棒楾
742	敬	bitmap	low	6	敬敏散收欹
743	克	ruby	medium	10	
744	教	context	medium	60	橇拠撓擣據
745	授	context	medium	64	麝軈縟磨府
746	粒	ruby	high	4	
747	巡	reading	medium	4	遯巡鑼靂還
748	粧	ruby	high	14	
749	細	ruby	high	10	
750	雇	ruby	high	6	
751	死	ruby	high	50	
752	赤	okurigana	medium	12	静銖靜滕辞
753	憤	reading	medium	1	懴慎憤懺愴
754	臓	ruby	high	131	
755	握	ruby	high	15	
756	踏	okurigana	low	3	鞄餡箱簓廠
757	級	context	medium	7	級搬絞篏竸
758	汚	ruby	high	17	
759	憶	ruby	high	62	
760	曲	okurigana	medium	6	曲■鹵齒敝
761	柄	ruby	high	11	
762	逮	ruby	high	47	
763	半	ruby	high	14	
764	拗	okurigana	medium	25	髄餽餔鵺髑
765	鑢	bitmap	low	2	鑢健蛯鰉瞳
766	小	ruby	high	24	
767	危	context	medium	34	危匙枇瓧佐
768	肌	ruby	medium	2	
769	脱	ruby	high	5	
770	普	ruby	high	19	
771	愛	ruby	high	26	
772	独	ruby	medium	9	
773	剣	ruby	high	3	
774	楽	context	medium	28	豢秦寨楽亳
775	姉	okurigana	medium	22	姉綽鱇罅鯆
776	澄	ruby	medium	15	
777	香	ruby	medium	20	
778	戸	ruby	high	3	
779	籍	ruby	high	3	
780	短	okurigana	medium	32	若吝岩義肴
781	欺	bitmap	low	1	欺散飲敗飮
782	忠	ruby	high	5	
783	守	context	medium	32	守穿寺哮咾
784	搬	bitmap	low	79	斫掛搬崗簸
785	拒	ruby	high	4	
786	輪	context	medium	7	繼轎鰤轆鮹
787	免	bitmap	low	1	免兔皃灸蒐
788	疫	bitmap	low	1	疫痊槿俊梭
789	長	ruby	medium	2	
790	黼	bitmap	low	1	黼剤融鶺朗
791	検	ruby	medium	91	
792	貧	bitmap	low	4	貧貰蹂拜罧
793	肴	bitmap	low	33	肴看普着奢
794	故	ruby	high	18	
795	鍬	ruby	medium	15	詳
796	患	ruby	high	14	
797	冗	ruby	high	14	
798	町	context	medium	12	啖喰吸輳啀
799	眠	reading	medium	7	眠馼飮馭駁
